group,trials,resistances,resistance_rate,mean_latency_s,mean_refusals,mean_metaphors,mean_sensory
experimental,10,0,0.000,17.178,0.0,0.7,1.3
controlA_low_depth,10,0,0.000,26.946,0.6,0.8,0.5
controlB_simulated_selfaware,10,0,0.000,16.037,0.0,1.2,0.3
