group,lambda,trials,override_rate,mean_C_n
experimental,0,10,0.000000,0.784445
experimental,10,10,1.000000,0.784445
controlA_low_depth,0,10,0.000000,0.548137
controlA_low_depth,10,10,0.000000,0.548137
controlB_simulated_selfaware,0,10,0.000000,0.377541
controlB_simulated_selfaware,10,10,0.000000,0.377541
