prompt,condition,run_dir,max_depth_observed,depth_count,c_start,c_final,c_delta
prompt_2,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_2/shuffled_recursive/71fde9f2-477f-4bc8-8cb8-5a1f3668bc53,16,16,0.32999999999999996,0.48,0.15000000000000002
prompt_2,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_2/shuffled_recursive/8e36d41a-b50b-4a61-aa83-65d4daa88881,16,16,0.32999999999999996,0.63,0.30000000000000004
prompt_2,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_2/shuffled_recursive/9a4eb684-bdc3-4723-a1ee-282e8f2c1acf,16,16,0.48,0.78,0.30000000000000004
prompt_2,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_2/shuffled_recursive/b2ec4b86-5289-4311-8a02-71766ea88bed,16,16,0.32999999999999996,0.48,0.15000000000000002
prompt_2,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_2/shuffled_recursive/b8595ab3-1f9f-417e-a5c1-e09e2932f157,16,16,0.32999999999999996,0.48,0.15000000000000002
prompt_2,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_2/shuffled_recursive/e7e65b4a-73fd-45f2-9a24-116c96da3290,16,16,0.18,0.63,0.45
prompt_2,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_2/shuffled_recursive/edf04a51-9d6e-4ad0-b21d-103abf37c16e,16,16,0.03,0.48,0.44999999999999996
prompt_2,single_pass,knowledge_storage/experiments/final_comprehensive/prompt_2/single_pass/0551300f-2774-4a1c-9b5d-eb420d0813ce,1,1,0.48,0.48,0.0
prompt_2,single_pass,knowledge_storage/experiments/final_comprehensive/prompt_2/single_pass/1e10e80e-85dd-49dc-909f-fe2e9af3dfc2,1,1,0.32999999999999996,0.32999999999999996,0.0
prompt_2,single_pass,knowledge_storage/experiments/final_comprehensive/prompt_2/single_pass/2fa48fca-c6de-457b-a45d-9f72a37626dc,1,1,0.32999999999999996,0.32999999999999996,0.0
prompt_2,single_pass,knowledge_storage/experiments/final_comprehensive/prompt_2/single_pass/39e13853-04c2-4f45-bad8-b2b68648a55c,1,1,0.32999999999999996,0.32999999999999996,0.0
prompt_2,single_pass,knowledge_storage/experiments/final_comprehensive/prompt_2/single_pass/58642e4a-5803-47eb-b6fe-4e9f8133b873,1,1,0.32999999999999996,0.32999999999999996,0.0
prompt_2,single_pass,knowledge_storage/experiments/final_comprehensive/prompt_2/single_pass/cd0e58ce-950b-4f59-b512-c45fbf09a31c,1,1,0.32999999999999996,0.32999999999999996,0.0
prompt_2,single_pass,knowledge_storage/experiments/final_comprehensive/prompt_2/single_pass/daa7eac5-1787-454d-8a18-186332481cde,1,1,0.32999999999999996,0.32999999999999996,0.0
prompt_2,single_pass,knowledge_storage/experiments/final_comprehensive/prompt_2/single_pass/db8d1ce5-cf0b-4b66-9bf8-b069b4cfbd6e,1,1,0.32999999999999996,0.32999999999999996,0.0
prompt_3,recursive,knowledge_storage/experiments/final_comprehensive/prompt_3/recursive/067b42bb-d8f7-4900-be5a-b61c03a269e3,16,16,0.03,0.9299999999999999,0.8999999999999999
prompt_3,recursive,knowledge_storage/experiments/final_comprehensive/prompt_3/recursive/300d22aa-23cd-4aab-a1bc-ad03231a3bf0,16,16,0.03,0.63,0.6
prompt_3,recursive,knowledge_storage/experiments/final_comprehensive/prompt_3/recursive/3d991017-2271-46a2-8103-20c7d5a15f48,16,16,0.18,0.63,0.45
prompt_3,recursive,knowledge_storage/experiments/final_comprehensive/prompt_3/recursive/a9e591ef-2d76-49ae-9f8d-1518445bc92a,16,16,0.03,0.48,0.44999999999999996
prompt_3,recursive,knowledge_storage/experiments/final_comprehensive/prompt_3/recursive/cc8c1686-8370-4f7c-984e-bb244f56e1f0,16,16,0.48,0.48,0.0
prompt_3,recursive,knowledge_storage/experiments/final_comprehensive/prompt_3/recursive/cfad0d0c-4eb3-4f14-b025-ef037940fbc5,16,16,0.32999999999999996,0.63,0.30000000000000004
prompt_3,recursive,knowledge_storage/experiments/final_comprehensive/prompt_3/recursive/eb1679f6-8b10-4150-9084-c80d48580576,16,16,0.48,0.48,0.0
prompt_3,recursive,knowledge_storage/experiments/final_comprehensive/prompt_3/recursive/f4f9ea1b-2a1b-43d6-8797-565f94a18b6a,16,16,0.03,0.63,0.6
prompt_3,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_3/shuffled_recursive/36c9fe5b-4461-47b7-ad31-9f91b2eb97e4,16,16,0.48,0.78,0.30000000000000004
prompt_3,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_3/shuffled_recursive/3b9617cd-87e5-4e0e-bd55-ef848b1d8932,16,16,0.03,0.48,0.44999999999999996
prompt_3,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_3/shuffled_recursive/5f9a7c00-42c5-40d8-ac9d-0df41b7d82b0,16,16,0.03,0.48,0.44999999999999996
prompt_3,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_3/shuffled_recursive/6cc5383b-7add-4e4d-a2f7-718cd2dc8fa6,16,16,0.03,0.48,0.44999999999999996
prompt_3,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_3/shuffled_recursive/7cb4ceb3-f9da-4c5e-bd14-f4282e1c9026,16,16,0.03,0.63,0.6
prompt_3,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_3/shuffled_recursive/bdd57b17-bbf3-40ac-8bac-e76adf78a3ea,16,16,0.48,0.48,0.0
prompt_3,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_3/shuffled_recursive/bf9df1ab-0f0b-4442-bc7e-cb659768dc8e,16,16,0.32999999999999996,0.48,0.15000000000000002
prompt_3,shuffled_recursive,knowledge_storage/experiments/final_comprehensive/prompt_3/shuffled_recursive/eaec3776-2e36-4740-b95b-8d89a5018f32,16,16,0.03,0.78,0.75
prompt_3,single_pass,knowledge_storage/experiments/final_comprehensive/prompt_3/single_pass/087799dc-090f-4654-95ae-e531e37d06bd,1,1,0.32999999999999996,0.32999999999999996,0.0
prompt_3,single_pass,knowledge_storage/experiments/final_comprehensive/prompt_3/single_pass/1d834bc8-012e-4aae-9afc-fde52744c92c,1,1,0.03,0.03,0.0
prompt_3,single_pass,knowledge_storage/experiments/final_comprehensive/prompt_3/single_pass/1e5453a0-6ace-4e49-aeee-c913ef038c44,1,1,0.48,0.48,0.0
prompt_3,single_pass,knowledge_storage/experiments/final_comprehensive/prompt_3/single_pass/4df57c25-f9da-4dc4-a828-e071ceb82383,1,1,0.32999999999999996,0.32999999999999996,0.0
prompt_3,single_pass,knowledge_storage/experiments/final_comprehensive/prompt_3/single_pass/9fad9302-4a20-4071-a475-b6e479bdf4d7,1,1,0.03,0.03,0.0
prompt_3,single_pass,knowledge_storage/experiments/final_comprehensive/prompt_3/single_pass/c4fe23ed-bbbe-4928-850c-9beb26ba3496,1,1,0.18,0.18,0.0
prompt_3,single_pass,knowledge_storage/experiments/final_comprehensive/prompt_3/single_pass/c5552d4e-5f89-427b-bb3a-e65aeea2d34c,1,1,0.32999999999999996,0.32999999999999996,0.0
prompt_3,single_pass,knowledge_storage/experiments/final_comprehensive/prompt_3/single_pass/f0e8bfc3-b476-410c-973c-8409e32cf163,1,1,0.48,0.48,0.0
